customer_id,customer_first_name,customer_last_name,customer_email,customer_postcode,registration_date,customer_phone,customer_address,customer_city
04866x,Florinda,Mariner,fmariner12@edublogs.org,SE1 7PB,1/29/2021,7126367380,"456 Southwark Street, London",London
29780w,Sibylle,Brend,sbrend13@liveinternet.ru,M1 1AA,3/13/2020,7424252546,"303 Oxford Road, Manchester",Manchester
01054m,Lula,Carlsen,lcarlsen14@shutterfly.com,S2 5QT,10/28/2020,7740122886,"3939 Fargate, Sheffield",Sheffield
14431h,Kristen,Kleen,kkleen15@statcounter.com,LS2 7PU,05-12-2020,7726503778,"3434 Headrow, Leeds",Leeds
70801v,Sigfrid,Brettor,sbrettor16@harvard.edu,M2 5QR,6/13/2020,7996512965,"404 Deansgate, Manchester",Manchester
88437p,John,Celiz,jceliz17@dyndns.org,S5 8QZ,9/24/2020,7415925622,"4242 Ecclesall Road, Sheffield",Sheffield
44932e,Dawn,Catenot,dcatenot18@simplemachines.org,L2 0NT,12/15/2020,7449168315,"1414 Paradise Street, Liverpool",Liverpool
05313r,Coralyn,Ord,cord19@mashable.com,L3 5TR,2/15/2020,7130909522,"1515 Albert Dock, Liverpool",Liverpool
87193b,Sonia,Ranyelld,sranyelld1a@tinyurl.com,B3 2BJ,12-12-2021,7420561093,"1010 Corporation Street, Birmingham",Birmingham
35352u,Madella,Duffell,mduffell1b@sogou.com,EH3 9DP,11-04-2020,7464002106,"2525 Grassmarket, Edinburgh",Edinburgh
74115u,Elmer,Thorsby,ethorsby1c@hud.gov,NE2 7PH,01-10-2020,7366075782,"4444 Collingwood Street, Newcastle",Newcastle
66818u,Ivy,Hulks,ihulks1d@cloudflare.com,BS5 8DR,3/27/2022,7132053684,"3232 Filton Avenue, Bristol",Bristol
